id_клиента;возраст;доход_тыс_руб;средний_остаток_тыс_руб;операций_в_месяц;доля_цифровых_операций
102773;62;261;1122;29;0,92
102509;51;248;1255;44;0,91
102163;47;235;2078;35;0,73
102876;53;275;1033;20;0,89
102198;51;196;1593;49;0,83
101280;36;113;188;52;0,94
101416;55;228;1899;13;0,44
100878;28;99;120;57;0,80
101858;48;236;1063;14;0,37
100670;23;79;143;73;0,84
102957;51;250;2584;54;0,67
101633;52;313;603;18;0,27
101792;60;246;689;17;0,12
101457;48;214;2425;21;0,29
101453;54;234;2169;12;0,23
101271;23;108;124;18;0,67
100379;23;93;18;31;0,89
101867;48;240;2467;6;0,16
101925;56;199;1673;15;0,20
102586;48;178;655;28;0,81
100715;21;60;5;68;0,95
102755;51;155;436;54;0,80
100511;30;80;115;56;0,99
101579;49;198;2087;12;0,21
102988;46;186;1853;57;0,85
100992;27;101;146;56;0,99
102453;57;223;1871;45;0,82
102214;46;168;1709;42;0,73
100359;25;101;129;58;0,87
102731;46;206;1328;13;0,83
100483;27;98;104;56;0,98
100024;26;102;126;33;0,78
100323;29;85;64;74;0,80
101145;31;95;153;48;0,88
102147;44;190;671;17;0,91
101921;54;270;2274;14;0,14
102304;42;193;1439;42;0,88
101871;64;204;2762;17;0,15
101060;29;73;186;47;0,89
102507;43;216;1143;33;0,96
101018;24;97;169;50;0,83
102297;52;224;1532;37;0,77
102656;46;215;756;37;0,69
100254;25;97;219;38;0,86
102787;45;224;213;35;0,76
101359;54;245;2263;18;0,22
101778;52;198;1401;19;0,14
102325;44;234;1436;30;0,97
102676;42;230;1452;37;0,81
102082;53;147;2221;48;0,70
101373;56;238;1995;17;0,28
100982;27;126;82;51;0,99
100349;28;74;169;50;0,89
101976;49;205;1060;13;0,28
101656;62;190;1445;19;0,22
102399;45;218;1638;48;0,81
100851;29;103;5;51;0,95
101688;62;194;1913;20;0,14
102263;46;215;2184;35;0,90
102989;51;208;1611;31;0,83
102221;49;218;629;50;0,86
101240;34;102;148;49;0,95
101267;27;61;147;53;0,77
100596;31;113;149;49;0,86
102622;47;205;2334;58;0,82
102128;47;199;2270;52;0,84
100134;24;93;104;37;0,99
100833;21;76;112;52;0,85
100077;29;102;192;63;0,85
102152;58;230;1924;47;0,88
101902;50;209;2016;15;0,32
102085;48;211;2012;48;0,87
101122;24;122;166;52;0,87
101558;56;315;1601;10;0,33
100022;28;90;73;46;0,88
102632;43;171;1923;48;0,95
102573;55;209;1758;29;0,78
100383;26;68;81;49;0,77
102438;47;222;619;24;0,90
102209;52;250;1929;44;0,87
102537;46;193;1277;23;0,79
102187;52;247;1637;42;0,77
101336;52;227;2527;20;0,43
102240;47;291;1459;19;0,81
100370;35;97;155;46;0,90
102170;51;186;1816;20;0,89
102347;44;219;2193;40;0,81
100890;31;93;95;55;0,76
101955;61;204;2152;18;0,04
100137;30;117;47;52;0,95
102094;57;239;1376;46;0,99
100998;26;70;116;51;0,96
100577;32;59;80;42;0,88
100156;29;107;164;20;0,84
100128;30;98;245;37;0,84
102423;58;156;2089;44;0,87
102171;52;204;873;32;0,82
101735;50;202;3392;14;0,05
100732;28;95;26;36;0,86
100339;27;91;33;51;0,89
100029;30;89;92;76;0,81
100820;26;65;187;36;0,76
101978;62;232;1532;11;0,25
100007;29;91;190;39;0,84
102732;48;270;1061;18;0,80
102524;40;220;1745;40;0,73
102393;54;204;1716;21;0,83
101002;27;68;124;28;0,94
102862;47;171;766;17;0,76
102891;41;227;1604;41;0,92
100794;31;82;121;58;0,88
101026;30;111;83;48;0,85
102435;50;216;1588;43;0,83
100855;29;105;146;48;0,69
102922;55;214;1175;32;0,90
102184;54;202;781;27;0,85
101052;40;53;148;37;0,76
102484;55;167;1872;24;0,88
101860;52;291;1281;20;0,28
100860;31;99;169;48;0,79
102503;50;323;2030;33;0,90
101425;61;236;1718;15;0,27
101004;25;101;98;44;0,83
102295;63;207;1397;37;0,78
102349;43;172;811;40;0,84
101375;52;238;2046;10;0,18
101239;30;66;61;62;0,86
101365;49;231;2343;11;0,18
101951;52;225;380;16;0,27
101761;57;206;2030;19;0,27
100195;36;68;144;41;0,88
102178;54;209;2104;43;0,80
101250;23;118;99;45;0,99
100704;24;91;97;38;0,77
102156;54;235;1672;58;0,84
100866;33;74;101;57;0,91
101418;49;196;2218;7;0,23
100885;28;97;31;54;0,71
101841;60;224;1781;17;0,22
102685;51;241;782;32;0,72
100038;32;69;172;29;0,87
100688;33;100;109;61;0,78
101448;53;226;1414;10;0,08
100882;29;99;51;53;0,85
101445;56;197;1549;13;0,29
100403;21;85;181;32;0,88
102753;52;197;1879;45;0,81
101404;62;202;907;13;0,34
101024;26;135;179;46;0,90
101669;50;180;2319;14;0,23
102458;45;157;1534;36;0,89
100051;25;81;141;60;0,90
100905;31;104;120;53;0,90
100484;31;111;197;41;0,86
102201;47;196;1730;42;0,69
101661;49;278;2179;10;0,20
102404;54;289;1916;44;0,76
100151;31;75;71;51;0,86
101895;59;221;553;19;0,23
100991;27;74;99;61;0,96
100514;33;90;72;43;0,92
100805;29;123;141;59;0,99
102102;58;208;520;34;0,83
101552;56;294;1298;8;0,25
102651;50;297;2858;23;0,89
100565;32;94;66;62;0,75
100903;33;111;69;61;0,86
101859;52;224;3103;19;0,14
101971;48;187;1408;9;0,22
102011;44;177;545;44;0,83
100480;24;106;229;52;0,73
100439;30;107;170;46;0,79
102009;49;184;2136;33;0,90
102596;55;200;1266;43;0,87
101604;59;189;2061;16;0,15
102735;56;188;1272;39;0,76
101279;27;96;146;57;0,84
102734;50;246;1670;42;0,88
100985;30;92;115;8;0,89
100332;36;126;160;29;0,90
100791;24;87;162;54;0,76
101044;27;122;136;64;0,75
102380;51;245;1792;44;0,94
102247;47;228;1103;44;0,84
102204;46;272;253;50;0,86
102847;44;183;2251;34;0,82
101903;52;211;1928;23;0,33
101768;60;243;2286;23;0,19
102590;48;192;1626;46;0,94
101246;29;80;181;45;0,89
102413;52;231;1328;34;0,85
102069;52;213;1026;41;0,90
101488;49;272;2041;10;0,06
101173;30;47;196;49;0,80
102357;55;176;1734;59;0,85
102084;55;231;952;38;0,94
101310;60;233;2565;4;0,21
100560;28;105;49;37;0,92
101992;58;224;2891;10;0,22
102346;41;224;1093;33;0,70
102867;57;215;311;39;0,80
102772;50;247;2596;51;0,66
100804;25;115;96;29;0,89
102123;54;277;879;46;0,88
102277;52;221;828;48;0,99
100171;25;84;187;33;0,88
100701;22;88;147;35;0,91
102709;52;224;790;46;0,91
101091;31;121;38;35;0,83
102340;53;242;420;53;0,89
101490;55;182;2253;16;0,27
100597;28;102;51;39;0,95
101081;26;138;120;56;0,97
100476;28;75;65;59;0,76
101366;56;224;2086;9;0,44
101554;56;176;1308;6;0,33
101130;27;99;122;38;0,82
101745;47;269;2066;16;0,27
100072;33;76;139;36;0,83
101776;53;265;2264;7;0,14
102476;49;177;1483;42;0,75
100864;29;89;140;31;0,81
100795;40;80;24;24;0,87
102331;53;186;1003;27;0,87
101171;31;97;43;45;0,86
101904;51;245;2083;13;0,30
101641;50;161;924;27;0,32
100113;33;98;149;46;0,85
100303;27;69;149;50;0,84
101484;59;303;2448;14;0,31
100933;24;86;105;43;0,87
101257;29;77;118;47;0,89
100591;27;89;149;47;0,77
100848;29;79;40;60;0,79
102694;53;209;1521;45;0,85
102032;45;251;159;44;0,76
101908;49;254;2126;20;0,37
102412;49;258;2674;25;0,79
102253;45;259;1148;36;0,79
102026;45;229;1578;61;0,91
100060;30;122;137;55;0,86
102991;48;200;1357;33;0,85
102345;50;243;791;41;0,84
100455;28;124;199;49;0,84
100682;32;90;155;36;0,87
100658;34;82;172;56;0,98
100398;31;66;156;28;0,99
101100;34;118;146;39;0,90
100157;23;122;151;48;0,86
101184;33;93;153;63;0,85
102809;57;188;1260;36;0,79
100888;28;71;87;43;0,90
101188;24;65;5;45;0,92
100709;21;119;82;52;0,93
100521;26;102;67;40;0,83
102496;53;176;1576;35;0,92
100920;32;74;211;43;0,94
101703;61;230;2099;9;0,21
100830;25;99;146;43;0,88
101652;62;267;2220;10;0,23
100232;33;130;111;43;0,76
101423;59;192;1856;9;0,13
100135;29;99;54;42;0,91
101361;62;231;1933;19;0,31
102145;46;180;1212;39;0,83
102578;34;194;1315;46;0,80
102620;53;221;1804;23;0,80
102617;50;174;2004;15;0,75
102353;51;211;1521;33;0,86
101244;31;61;128;69;0,83
102605;37;199;845;29;0,77
101055;31;104;169;48;0,88
100750;28;112;196;41;0,89
102827;55;238;577;22;0,85
102383;49;234;1722;32;0,80
100299;24;75;41;50;0,90
101744;63;221;1688;18;0,03
100689;31;111;70;14;0,85
100066;21;82;160;55;0,87
102930;44;224;2594;40;0,89
101411;58;198;1569;12;0,20
100197;34;82;102;35;0,82
101069;24;71;25;54;0,92
101021;27;132;194;36;0,85
101529;60;262;2513;19;0,34
102464;59;178;1614;30;0,69
100897;29;85;113;17;0,94
101883;46;207;2585;8;0,20
102806;52;236;1334;29;0,85
101236;24;110;150;54;0,72
102776;53;235;1200;54;0,92
101637;51;161;2591;10;0,25
100824;29;87;124;46;0,94
101160;21;103;97;57;0,92
102378;51;165;1890;43;0,87
102770;52;245;1344;14;0,82
100443;36;123;126;40;0,90
102115;48;145;1080;22;0,80
102885;50;253;2306;33;0,73
100742;30;78;33;49;0,90
101114;31;98;27;82;0,82
102871;56;198;665;30;0,76
100948;27;109;149;47;0,78
102754;52;260;1584;40;0,94
102630;53;223;1809;27;0,73
100932;30;70;167;51;0,86
101205;30;85;70;36;0,96
100001;34;107;142;55;0,83
101861;61;206;1258;12;0,26
101966;54;199;1867;14;0,23
101218;34;76;64;28;0,92
101308;57;271;1803;14;0,27
102195;48;222;671;40;0,69
100408;27;101;96;44;0,85
102122;52;212;1092;33;0,79
101571;56;161;1471;11;0,24
100582;34;51;88;57;0,85
101193;26;102;81;61;0,83
100049;31;82;22;70;0,87
101012;22;93;62;59;0,84
100498;25;105;54;52;0,86
100728;28;55;152;39;0,95
100045;32;47;114;27;0,99
100451;29;57;54;37;0,94
102078;49;288;1694;60;0,85
100326;25;83;173;27;0,88
102092;43;269;1882;35;0,78
100895;21;101;151;39;0,90
101064;42;86;126;39;0,77
102803;43;217;1451;39;0,81
102020;57;190;2122;44;0,85
101962;46;199;1960;13;0,30
100028;23;97;95;32;0,84
102886;51;212;1323;34;0,99
101791;53;265;1909;19;0,19
100410;29;62;165;60;0,81
100125;27;90;69;42;0,77
102958;49;197;1478;44;0,81
100255;24;86;103;57;0,93
100142;27;102;269;28;0,85
102309;51;225;2014;46;0,95
101718;55;223;2567;13;0,24
102267;57;216;1904;23;0,93
101651;48;211;1601;18;0,20
102914;57;188;2262;36;0,82
102652;48;247;1217;36;0,87
101640;48;277;2561;8;0,24
101595;51;254;1404;10;0,37
100272;21;115;111;36;0,83
100868;30;113;160;60;0,89
100105;30;119;84;78;0,96
100371;28;107;48;49;0,83
102307;47;187;1307;21;0,92
100891;28;79;202;48;0,93
101408;56;186;833;8;0,25
102188;56;188;1732;46;0,91
100391;24;61;83;31;0,76
101770;60;203;2059;14;0,19
102473;47;210;1450;36;0,88
101321;56;264;1568;11;0,32
101099;28;97;163;46;0,88
102851;51;206;1625;29;0,87
101513;55;274;1730;18;0,29
100116;28;138;71;39;0,82
101390;55;146;2356;8;0,09
100472;29;78;50;72;0,84
102944;51;200;1830;40;0,93
100194;27;81;232;42;0,94
101825;46;211;1766;15;0,34
102562;45;242;2492;49;0,79
100115;28;91;128;62;0,89
102890;53;217;817;22;0,87
102607;54;194;1668;45;0,85
101224;32;36;29;37;0,78
102326;47;186;509;27;0,81
100264;29;91;82;27;0,94
101563;59;162;1787;12;0,06
100216;21;106;90;65;0,98
101162;25;79;96;22;0,80
100628;29;88;120;63;0,73
101170;31;60;54;42;0,96
100837;26;129;169;42;0,86
100076;30;122;54;53;0,82
100430;22;84;114;52;0,80
101918;56;250;2055;15;0,25
100747;27;87;129;39;0,86
102462;54;216;963;33;0,81
100662;28;77;16;49;0,78
100203;26;91;97;64;0,96
101137;25;98;137;34;0,87
101760;47;223;2337;17;0,16
100980;29;72;149;37;0,93
101131;35;82;138;24;0,80
102916;57;238;5;33;0,93
102207;44;188;1644;46;0,90
102666;49;153;873;38;0,75
100186;22;84;75;33;0,82
101128;25;74;14;45;0,83
102292;53;205;1623;51;0,85
101410;58;233;852;17;0,22
100032;26;87;128;36;0,91
101911;57;183;2536;17;0,37
102112;51;168;1036;36;0,87
101969;54;199;1564;7;0,24
101624;60;219;1863;13;0,27
102312;48;265;397;31;0,93
102629;50;243;2172;26;0,84
101838;50;193;1264;13;0,27
101813;49;228;1242;9;0,14
101153;26;111;123;55;0,94
100943;23;88;19;33;0,85
101676;52;205;2240;7;0,32
101498;55;217;1656;20;0,34
101524;50;264;1193;6;0,11
102173;57;251;803;27;0,85
100347;31;81;120;41;0,90
100793;31;101;69;54;0,81
102796;48;233;968;42;0,83
101102;23;119;184;49;0,85
102636;56;201;1994;27;0,95
102545;51;212;915;33;0,78
102311;51;237;1139;31;0,90
101409;53;232;2229;1;0,15
102366;52;164;1050;38;0,87
102665;52;263;1529;48;0,99
102093;51;238;511;27;0,79
102716;52;158;1515;37;0,80
102724;46;169;1814;59;0,85
102061;53;238;1433;42;0,80
102479;48;158;2454;29;0,99
101209;36;104;201;37;0,88
102143;53;273;871;48;0,79
101943;63;158;1097;13;0,23
102675;44;209;1010;45;0,84
100730;29;85;54;45;0,92
102487;48;235;1918;50;0,98
102606;53;254;512;38;0,84
102406;46;198;1809;39;0,90
101814;46;213;1751;8;0,23
102360;59;209;783;28;0,75
102561;40;260;1614;33;0,98
100740;28;52;124;19;0,86
102761;52;190;1077;37;0,86
100485;31;88;119;42;0,96
100619;24;64;89;45;0,94
101626;56;218;908;14;0,31
100551;31;134;78;55;0,88
100873;33;87;92;54;0,94
101208;33;84;134;46;0,84
101815;51;305;1926;20;0,15
101149;31;116;172;34;0,78
100543;23;95;83;45;0,85
102584;46;232;1802;49;0,87
100179;22;104;57;38;0,89
101898;58;225;1474;13;0,29
102000;61;316;1314;12;0,14
102028;55;239;2603;33;0,81
100581;21;70;200;64;0,90
102663;51;214;1768;47;0,89
100473;34;135;121;49;0,68
101304;54;294;1209;2;0,26
102517;50;196;2440;31;0,85
100706;21;96;100;48;0,91
100502;28;151;77;61;0,83
101940;52;264;1887;20;0,34
101840;59;139;2234;14;0,23
100914;27;107;115;43;0,85
102565;55;195;1466;37;0,86
101811;54;210;2127;15;0,29
100269;29;77;184;31;0,88
102421;47;188;1799;39;0,79
100026;29;97;99;25;0,97
101241;22;106;124;52;0,90
101356;58;248;1414;12;0,15
100333;24;104;55;33;0,89
102270;43;169;2419;34;0,83
100584;28;70;182;30;0,82
101889;56;202;2360;13;0,04
100271;31;69;79;45;0,88
101899;47;233;986;13;0,26
101414;54;230;1574;20;0,18
102949;45;216;1283;24;0,84
101133;21;89;46;24;0,85
102853;46;250;1288;47;0,80
100048;27;110;129;31;0,84
102682;46;223;2051;42;0,81
101928;52;251;2049;13;0,19
100968;24;126;129;10;0,77
102296;50;183;768;43;0,86
101384;53;262;1426;12;0,23
100400;29;100;11;41;0,80
100921;29;96;147;80;0,81
101219;34;99;43;48;0,97
100687;32;109;87;41;0,87
100633;21;50;19;60;0,91
101618;52;251;2157;10;0,20
102194;49;211;1526;38;0,77
100162;30;116;199;48;0,97
101754;51;312;2809;6;0,24
102118;44;140;557;24;0,99
102445;46;242;1341;18;0,95
101870;54;202;1613;13;0,22
102621;51;209;1087;39;0,69
102065;58;197;1457;23;0,96
102350;48;216;846;55;0,82
101522;53;292;2623;16;0,35
101460;56;192;891;4;0,21
101977;62;195;2130;5;0,31
100193;37;110;106;45;0,81
101620;45;283;2176;18;0,27
102967;38;139;1764;42;0,88
101210;37;127;178;50;0,71
100235;26;102;113;40;0,88
102186;46;264;1560;31;0,82
102141;44;206;667;45;0,84
101309;60;186;1539;16;0,19
102465;50;272;981;39;0,71
102425;48;207;1484;40;0,82
102151;51;169;2017;32;0,87
101461;55;225;1128;19;0,27
100386;27;106;128;31;0,88
101779;59;226;1483;14;0,11
101083;27;65;233;24;0,97
100385;37;86;259;43;0,83
100686;34;99;112;60;0,86
102523;53;197;1303;39;0,77
102081;50;269;1399;56;0,88
102210;45;295;598;37;0,92
102142;49;224;1616;51;0,74
102251;44;263;1230;43;0,85
100210;30;111;72;32;0,95
101079;22;97;73;51;0,91
100148;22;85;186;49;0,81
102647;53;160;921;58;0,97
102583;42;215;992;47;0,85
100160;24;89;181;39;0,93
101590;54;244;1822;7;0,26
102767;54;202;951;23;0,87
100981;32;96;188;58;0,87
100054;21;144;139;32;0,89
101936;45;310;1947;18;0,18
102814;47;253;1615;36;0,89
100144;36;111;91;54;0,78
102512;43;223;2062;61;0,99
102416;53;222;615;44;0,97
101950;61;254;1757;11;0,32
100456;28;113;87;34;0,92
102994;47;240;1330;32;0,86
101288;31;85;108;40;0,77
102966;41;217;1333;54;0,85
102481;42;224;499;28;0,79
102661;52;224;1454;32;0,80
102442;46;219;2006;25;0,96
101424;56;282;1995;7;0,28
102874;44;244;1147;39;0,91
102615;47;180;1188;36;0,77
100300;22;113;90;44;0,99
100230;24;81;133;59;0,81
100739;30;105;248;37;0,82
102664;48;214;1154;53;0,85
102619;60;256;1378;43;0,77
102833;54;245;544;55;0,82
100564;22;84;165;59;0,92
102433;49;260;1493;36;0,89
100236;33;72;155;24;0,90
100640;25;91;134;51;0,87
100149;31;105;121;57;0,73
100618;26;94;177;51;0,88
102245;42;140;2164;22;0,82
100734;29;106;122;39;0,89
102954;52;238;1690;36;0,86
101586;49;217;1315;15;0,26
100751;34;105;146;42;0,77
101592;49;228;1627;13;0,25
102946;55;170;1222;17;0,79
100016;30;92;91;61;0,82
101090;28;57;101;55;0,81
102211;57;154;1623;31;0,92
101941;54;285;2493;12;0,15
101293;35;94;113;50;0,80
101938;57;274;1334;11;0,17
102879;43;258;1546;50;0,80
101958;53;256;2361;19;0,19
100481;26;91;83;38;0,84
102165;53;141;2489;31;0,90
100766;28;82;188;26;0,96
102281;50;245;1601;23;0,80
100225;33;90;148;26;0,99
100685;30;77;146;55;0,90
101248;33;106;215;54;0,95
100912;24;84;87;34;0,99
102549;49;230;1397;43;0,81
101597;54;247;1955;18;0,36
100691;28;70;125;38;0,89
102223;53;234;1910;31;0,90
100341;28;72;155;62;0,76
102432;55;255;1841;35;0,85
102616;47;216;1825;39;0,81
100130;21;56;200;20;0,82
102534;50;262;1638;27;0,81
100533;24;131;172;47;0,88
100834;33;140;65;38;0,88
100542;29;72;148;65;0,73
101712;55;254;1404;13;0,14
100083;27;88;119;41;0,99
101631;57;203;2423;10;0,20
102807;40;233;389;32;0,77
101742;55;254;2448;12;0,05
101199;21;71;65;27;0,94
100829;28;108;62;49;0,85
100415;29;94;141;52;0,82
100613;26;70;315;57;0,99
101179;31;93;145;50;0,86
102764;48;259;1287;47;0,78
101986;54;331;1407;20;0,42
100329;27;86;171;35;0,86
102042;51;256;986;31;0,71
102199;49;135;1878;22;0,80
100094;27;97;166;40;0,83
101474;61;271;1829;16;0,14
101082;36;87;20;45;0,87
102707;45;265;794;29;0,89
100899;32;101;33;21;0,81
102594;56;247;1450;35;0,80
101566;46;186;2568;17;0,15
100320;30;113;173;25;0,92
100282;26;143;200;47;0,75
101723;47;185;2638;20;0,30
101197;34;96;153;57;0,91
102719;50;218;1601;41;0,80
100700;28;93;103;73;0,80
101544;53;239;1901;19;0,11
100774;31;122;119;53;0,91
101259;29;98;81;24;0,98
100204;24;116;129;39;0,94
102626;45;203;1513;47;0,83
102498;50;239;1045;22;0,85
101203;31;65;207;27;0,75
102379;45;210;969;52;0,76
101397;50;158;2852;8;0,09
100840;29;77;136;46;0,80
102323;49;207;997;39;0,90
100131;34;116;122;40;0,89
100166;28;116;76;59;0,94
100798;30;117;68;33;0,81
101211;28;84;15;62;0,85
102047;57;229;625;47;0,91
102502;59;225;1756;54;0,85
101675;52;196;2218;15;0,17
101617;55;234;2037;23;0,23
100215;21;141;71;58;0,92
100607;26;86;136;71;0,91
100021;28;80;142;45;0,83
102506;51;184;1588;22;0,93
102625;49;206;1589;59;0,85
102401;48;179;1372;25;0,83
101284;32;94;120;45;0,91
100656;21;103;126;20;0,84
101839;55;174;1700;18;0,30
102500;58;312;1190;26;0,82
100399;29;119;130;33;0,89
100181;23;82;91;45;0,84
101881;57;230;1527;11;0,12
100756;37;103;118;25;0,87
102439;49;236;1488;35;0,84
101606;46;187;1438;15;0,18
101886;52;166;2456;17;0,28
101470;61;246;1370;15;0,23
102053;46;225;2105;32;0,84
100978;24;98;107;56;0,99
100243;24;95;106;37;0,88
101264;31;107;340;62;0,82
100040;29;94;139;40;0,83
101013;28;80;60;37;0,82
101725;59;261;129;22;0,24
100927;30;90;118;44;0,79
102363;46;275;1450;36;0,82
102248;52;213;1336;29;0,83
101180;30;107;110;31;0,85
100771;29;99;118;46;0,95
101316;66;218;2953;13;0,36
101148;23;115;46;57;0,90
102974;48;170;1663;9;0,86
100540;25;111;100;37;0,76
102548;45;190;1331;40;0,92
100100;28;104;101;34;0,84
102269;46;224;2308;36;0,83
101997;54;213;2238;9;0,26
100828;30;102;220;29;0,80
100382;32;78;114;58;0,82
102913;41;209;2168;36;0,65
101736;54;215;851;10;0,02
101946;56;294;2049;17;0,22
100295;27;76;81;52;0,87
100196;24;78;66;35;0,82
100775;36;78;81;21;0,80
101611;43;237;2254;12;0,26
100304;36;89;94;59;0,75
101450;59;280;3193;12;0,13
100191;30;84;85;59;0,94
101272;26;86;171;43;0,90
100175;35;67;86;46;0,93
102687;42;277;999;37;0,76
100120;26;115;146;49;0,85
100139;22;120;49;60;0,91
101526;55;240;2325;23;0,34
102183;43;324;1018;33;0,83
102822;47;236;1640;31;0,94
101673;55;207;2781;15;0,23
101235;24;109;196;55;0,88
100573;26;106;189;35;0,74
101927;55;147;2102;9;0,25
102550;47;222;1619;48;0,86
101254;29;63;98;46;0,85
100384;21;83;133;37;0,73
100971;31;81;114;45;0,78
100132;30;75;197;42;0,84
102475;51;193;2228;40;0,75
102646;51;248;1824;45;0,91
100381;26;114;30;42;0,75
101894;52;142;2175;10;0,09
100532;36;93;186;60;0,96
100240;32;106;94;60;0,81
101667;56;237;2471;12;0,15
100583;28;131;104;39;0,85
100298;30;75;143;51;0,89
101220;29;98;150;43;0,81
100098;22;73;134;32;0,86
100889;30;105;131;42;0,94
100807;28;77;66;38;0,99
100785;25;127;148;58;0,86
100624;34;68;192;58;0,79
100884;25;53;75;56;0,79
100373;21;70;96;43;0,95
102017;46;220;1473;32;0,85
100266;31;91;167;56;0,83
102288;61;178;1124;39;0,83
102365;51;242;1256;45;0,90
100967;29;94;68;37;0,89
101047;25;100;124;61;0,99
102106;50;257;795;43;0,80
100643;26;61;127;45;0,88
102148;43;242;1499;30;0,85
100526;24;131;35;38;0,99
101775;50;234;2535;16;0,29
101650;50;173;1946;10;0,19
101539;53;249;2136;13;0,32
100814;26;85;150;47;0,92
100724;24;87;168;35;0,82
100600;21;92;219;65;0,85
100368;23;81;125;42;0,88
101572;53;280;1183;9;0,33
100467;24;103;122;37;0,87
102166;54;179;1330;39;0,80
102900;42;222;691;58;0,73
102566;56;236;2194;18;0,87
102408;43;234;1182;45;0,74
101565;53;189;2501;12;0,19
101627;58;277;1394;6;0,22
100544;29;77;134;68;0,81
102844;52;200;1365;45;0,82
102940;42;252;1150;29;0,84
101136;41;95;134;19;0,74
101195;31;101;121;47;0,99
100714;39;77;5;58;0,87
102976;51;220;1699;33;0,80
102559;41;238;1377;24;0,78
100087;27;113;5;50;0,90
100594;23;58;170;21;0,76
101689;54;163;1679;11;0,29
100241;35;111;132;59;0,99
100950;34;95;95;22;0,85
102901;49;239;600;43;0,86
101088;28;114;81;30;0,84
101442;46;248;1365;11;0,18
100839;28;86;260;46;0,92
101785;60;226;2793;8;0,20
102717;48;230;1744;30;0,87
102817;49;189;587;17;0,90
102386;55;234;944;36;0,78
102181;54;289;1885;35;0,77
100479;27;99;207;29;0,95
100293;30;101;102;25;0,82
101853;55;288;1408;12;0,42
102089;48;128;1241;25;0,75
100419;32;106;134;65;0,91
102911;55;191;1768;35;0,84
100954;28;100;119;47;0,82
102644;40;272;1734;46;0,79
101340;49;202;2048;10;0,19
100242;22;82;110;53;0,85
102843;47;228;2652;42;0,75
100781;26;129;155;41;0,92
101644;50;232;396;12;0,30
102044;53;246;1683;30;0,83
100826;35;128;196;53;0,80
100692;25;81;78;50;0,84
100898;36;92;84;56;0,85
101659;52;220;1119;16;0,15
102962;48;207;1795;32;0,85
102417;49;209;184;59;0,89
101089;26;83;81;48;0,71
101734;48;246;2146;11;0,24
100806;23;92;53;50;0,87
100657;27;125;47;49;0,84
100167;28;47;115;52;0,89
102175;48;272;1497;38;0,93
100887;25;95;197;40;0,84
100491;27;68;206;33;0,89
102538;47;204;1215;32;0,90
101573;47;285;1218;6;0,19
101580;66;233;2258;14;0,30
100358;27;110;205;61;0,99
100328;34;108;140;41;0,93
102598;56;217;1288;45;0,79
100513;32;96;46;33;0,89
100621;23;90;145;50;0,83
101242;29;73;222;55;0,83
100294;31;94;118;50;0,99
100354;29;73;101;56;0,82
100285;31;85;115;49;0,87
100015;27;98;205;34;0,81
101003;29;67;125;41;0,87
100694;27;77;138;21;0,80
100366;28;86;196;50;0,80
100050;26;79;162;62;0,93
100520;25;116;103;62;0,84
102722;45;218;1508;51;0,93
101216;24;98;108;47;0,78
101716;55;238;1567;11;0,26
101648;43;211;1870;3;0,21
102367;45;245;1837;27;0,96
100006;29;73;5;59;0,81
100462;28;92;81;52;0,84
101120;36;110;160;50;0,70
102103;49;279;1343;35;0,85
101196;24;95;105;43;0,83
102348;49;197;1805;50;0,86
102086;48;223;1300;48;0,80
101427;50;204;1935;12;0,09
100699;26;66;74;45;0,84
102969;47;318;1677;35;0,79
100634;30;74;149;35;0,90
102450;49;208;1492;40;0,86
100217;28;109;65;73;0,87
102628;37;248;2116;36;0,90
101101;29;95;222;51;0,78
101576;55;265;2019;12;0,19
101036;34;92;137;25;0,86
100343;26;90;154;31;0,96
101492;51;310;2778;16;0,05
100488;25;100;54;38;0,76
102863;50;276;1073;39;0,75
101920;44;288;2124;17;0,26
101465;49;262;1480;11;0,32
101473;57;190;1743;9;0,19
100568;33;94;88;52;0,96
102358;57;193;970;32;0,81
101882;63;220;1678;18;0,22
101420;57;244;1257;16;0,17
101658;49;235;1348;14;0,24
101518;52;241;2732;20;0,22
100413;31;93;64;62;0,87
102880;62;226;1344;33;0,85
100652;31;95;99;55;0,89
100877;25;122;5;69;0,86
100205;24;78;31;42;0,84
101167;32;104;122;59;0,96
100003;23;136;136;66;0,89
101532;53;159;1950;12;0,09
101523;57;289;1866;11;0,20
100590;32;94;49;41;0,80
101777;46;139;2319;8;0,36
102623;50;133;1003;58;0,79
102231;50;239;2122;28;0,88
102134;45;180;1168;44;0,94
102135;42;210;2433;36;0,77
100364;31;74;16;39;0,86
102108;45;253;1856;33;0,88
101893;59;297;2215;13;0,10
101022;33;92;99;29;0,78
101028;27;110;175;60;0,89
100755;29;124;159;41;0,90
101747;53;313;1225;20;0,25
101251;26;78;169;24;0,89
102894;49;163;1082;61;0,85
100340;25;95;83;45;0,95
100493;30;74;107;63;0,77
102238;53;237;2225;47;0,91
101301;50;223;1903;12;0,27
100208;31;92;20;60;0,79
102655;53;251;1119;60;0,86
102674;41;233;1522;32;0,88
102284;48;195;735;45;0,89
102037;48;278;1283;27;0,82
101984;49;268;1646;13;0,57
100579;29;83;77;36;0,80
100059;22;123;105;46;0,90
101406;55;176;2355;12;0,27
101027;26;124;60;51;0,90
100155;26;104;205;43;0,95
100164;24;79;169;47;0,97
