месяц;регион;канал;новые_счета;закрытые_счета;активные_счета_на_конец_месяца;средний_остаток_тыс_руб;расходы_на_продвижение_тыс_руб;ставка_по_счёту_проц;жалобы
2026-01;Южный;Партнёрская сеть;167;142;872;96,9;139;9,60;23
2026-01;Уральский;Мобильное приложение;647;118;9580;215,0;558;9,60;13
2026-01;Уральский;Отделение;334;41;7226;349,9;308;9,60;6
2026-01;Уральский;Сайт банка;160;36;3133;188,1;152;9,60;8
2026-01;Уральский;Партнёрская сеть;177;153;1235;104,8;160;9,60;20
2026-01;Сибирский;Мобильное приложение;571;88;8789;224,3;517;9,60;13
2026-01;Сибирский;Отделение;334;41;6668;354,3;286;9,60;7
2026-01;Сибирский;Сайт банка;156;30;2999;191,3;141;9,60;5
2026-01;Сибирский;Партнёрская сеть;161;148;1191;94,3;148;9,60;16
2026-02;Центральный;Мобильное приложение;1099;185;18093;222,2;1008;9,95;28
2026-02;Центральный;Отделение;635;96;13736;349,5;541;9,95;14
2026-02;Центральный;Сайт банка;316;71;6037;184,0;267;9,95;10
2026-02;Центральный;Партнёрская сеть;298;288;2423;109,9;287;9,95;36
2026-02;Северо-Западный;Мобильное приложение;702;114;10978;229,3;625;9,95;12
2026-02;Северо-Западный;Отделение;387;49;8378;340,7;336;9,95;6
2026-02;Северо-Западный;Сайт банка;193;39;3752;181,2;166;9,95;6
2026-02;Северо-Западный;Партнёрская сеть;217;168;1555;96,4;178;9,95;22
2026-02;Южный;Мобильное приложение;523;82;8709;221,7;484;9,95;10
2026-02;Южный;Отделение;285;40;6649;364,7;260;9,95;7
2026-02;Южный;Сайт банка;159;31;2958;207,8;128;9,95;5
2026-02;Южный;Партнёрская сеть;164;161;875;101,0;138;9,95;23
2026-02;Уральский;Мобильное приложение;689;139;10130;242,1;554;9,95;16
2026-02;Уральский;Отделение;344;55;7515;359,7;298;9,95;8
2026-02;Уральский;Сайт банка;178;38;3273;201,2;147;9,95;7
2026-02;Уральский;Партнёрская сеть;194;150;1279;96,1;158;9,95;20
2026-02;Сибирский;Мобильное приложение;618;103;9304;240,2;514;9,95;17
2026-02;Сибирский;Отделение;301;37;6932;344,4;276;9,95;5
2026-02;Сибирский;Сайт банка;155;38;3116;185,5;136;9,95;5
2026-02;Сибирский;Партнёрская сеть;167;146;1212;108,8;146;9,95;16
2026-03;Центральный;Мобильное приложение;1158;213;19038;221,7;859;10,65;30
2026-03;Центральный;Отделение;616;210;14142;386,9;449;10,65;33
2026-03;Центральный;Сайт банка;269;52;6254;197,0;222;10,65;7
2026-03;Центральный;Партнёрская сеть;298;233;2488;100,0;244;10,65;36
2026-03;Северо-Западный;Мобильное приложение;665;134;11509;234,6;533;10,65;20
2026-03;Северо-Западный;Отделение;367;53;8692;369,2;278;10,65;9
2026-03;Северо-Западный;Сайт банка;172;43;3881;190,6;138;10,65;7
2026-03;Северо-Западный;Партнёрская сеть;180;170;1565;98,0;151;10,65;18
2026-03;Южный;Мобильное приложение;515;93;9131;220,2;413;10,65;12
2026-03;Южный;Отделение;248;34;6863;387,5;216;10,65;5
2026-03;Южный;Сайт банка;126;28;3056;182,3;107;10,65;5
2026-03;Южный;Партнёрская сеть;155;139;891;95,1;117;10,65;22
2026-03;Уральский;Мобильное приложение;610;114;10626;233,3;473;10,65;19
2026-03;Уральский;Отделение;298;37;7776;364,6;247;10,65;6
2026-03;Уральский;Сайт банка;155;37;3391;190,4;122;10,65;5
2026-03;Уральский;Партнёрская сеть;178;149;1308;108,8;134;10,65;20
2026-03;Сибирский;Мобильное приложение;545;105;9744;229,5;438;10,65;15
2026-03;Сибирский;Отделение;264;42;7154;397,3;229;10,65;6
2026-03;Сибирский;Сайт банка;147;30;3233;201,7;113;10,65;3
2026-03;Сибирский;Партнёрская сеть;142;129;1225;102,5;124;10,65;17
2026-04;Центральный;Мобильное приложение;1134;228;19944;212,8;788;11,36;34
2026-04;Центральный;Отделение;594;86;14650;357,3;400;11,36;13
2026-04;Центральный;Сайт банка;285;67;6472;198,6;199;11,36;12
2026-04;Центральный;Партнёрская сеть;305;255;2538;100,5;223;11,36;40
2026-04;Северо-Западный;Мобильное приложение;696;129;12076;232,6;489;11,36;19
2026-04;Северо-Западный;Отделение;304;41;8955;355,0;248;11,36;5
2026-04;Северо-Западный;Сайт банка;171;38;4014;182,2;123;11,36;6
2026-04;Северо-Западный;Партнёрская сеть;191;163;1593;101,3;138;11,36;17
2026-04;Южный;Мобильное приложение;523;81;9573;235,4;378;11,36;13
2026-04;Южный;Отделение;273;43;7093;365,2;192;11,36;8
2026-04;Южный;Сайт банка;134;25;3165;197,6;95;11,36;5
2026-04;Южный;Партнёрская сеть;155;138;908;103,0;107;11,36;16
2026-04;Уральский;Мобильное приложение;640;129;11137;221,1;433;11,36;18
2026-04;Уральский;Отделение;277;39;8014;352,4;220;11,36;8
2026-04;Уральский;Сайт банка;154;35;3510;191,2;109;11,36;4
2026-04;Уральский;Партнёрская сеть;152;141;1319;102,1;122;11,36;23
2026-04;Сибирский;Мобильное приложение;599;108;10235;242,9;402;11,36;12
2026-04;Сибирский;Отделение;300;46;7408;378,7;204;11,36;7
2026-04;Сибирский;Сайт банка;148;31;3350;195,7;101;11,36;6
2026-04;Сибирский;Партнёрская сеть;162;126;1261;98,2;113;11,36;21
2026-05;Центральный;Мобильное приложение;1157;184;20917;227,7;754;12,02;19
2026-05;Центральный;Отделение;587;81;15156;382,4;372;12,02;14
2026-05;Центральный;Сайт банка;273;57;6688;197,6;186;12,02;8
2026-05;Центральный;Партнёрская сеть;299;279;2558;110,1;212;12,02;29
2026-05;Северо-Западный;Мобильное приложение;645;118;12603;224,7;468;12,02;12
2026-05;Северо-Западный;Отделение;321;45;9231;374,7;231;12,02;7
2026-05;Северо-Западный;Сайт банка;151;34;4131;198,5;115;12,02;4
2026-05;Северо-Западный;Партнёрская сеть;205;165;1633;101,3;131;12,02;23
2026-05;Южный;Мобильное приложение;577;114;10036;239,0;362;12,02;17
2026-05;Южный;Отделение;262;37;7318;393,4;179;12,02;5
2026-05;Южный;Сайт банка;136;26;3275;183,0;89;12,02;3
2026-05;Южный;Партнёрская сеть;154;153;909;100,3;102;12,02;20
2026-05;Уральский;Мобильное приложение;572;89;11620;244,6;415;12,02;11
2026-05;Уральский;Отделение;291;45;8260;349,0;205;12,02;6
2026-05;Уральский;Сайт банка;158;30;3638;204,8;102;12,02;4
2026-05;Уральский;Партнёрская сеть;170;168;1321;102,5;117;12,02;25
2026-05;Сибирский;Мобильное приложение;592;115;10712;228,1;385;12,02;14
2026-05;Сибирский;Отделение;259;32;7635;363,4;190;12,02;5
2026-05;Сибирский;Сайт банка;146;29;3467;198,7;95;12,02;4
2026-05;Сибирский;Партнёрская сеть;169;138;1292;104,1;108;12,02;22
2026-06;Центральный;Мобильное приложение;1050;204;21763;229,0;754;12,48;29
2026-06;Центральный;Отделение;513;75;15594;388,1;362;12,48;12
2026-06;Центральный;Сайт банка;262;60;6890;191,8;181;12,48;8
2026-06;Центральный;Партнёрская сеть;297;279;2576;101,5;211;12,48;46
2026-06;Северо-Западный;Мобильное приложение;728;143;13188;228,0;467;12,48;23
2026-06;Северо-Западный;Отделение;308;43;9496;401,2;224;12,48;7
2026-06;Северо-Западный;Сайт банка;174;39;4266;199,6;112;12,48;4
2026-06;Северо-Западный;Партнёрская сеть;181;142;1672;105,7;131;12,48;17
2026-06;Южный;Мобильное приложение;547;109;10474;234,7;362;12,48;12
2026-06;Южный;Отделение;283;34;7567;360,1;174;12,48;5
2026-06;Южный;Сайт банка;129;26;3378;206,9;87;12,48;4
2026-06;Южный;Партнёрская сеть;159;129;939;108,4;101;12,48;19
2026-06;Уральский;Мобильное приложение;632;102;12150;220,3;414;12,48;16
2026-06;Уральский;Отделение;300;39;8521;383,4;199;12,48;5
2026-06;Уральский;Сайт банка;164;38;3764;196,7;99;12,48;5
2026-06;Уральский;Партнёрская сеть;188;173;1336;106,5;116;12,48;23
2026-06;Сибирский;Мобильное приложение;583;114;11181;246,6;384;12,48;18
2026-06;Сибирский;Отделение;285;37;7883;391,7;184;12,48;5
2026-06;Сибирский;Сайт банка;147;33;3581;194,1;92;12,48;6
2026-06;Сибирский;Партнёрская сеть;170;149;1313;105,4;108;12,48;23
