дата;объём_операций_млн_руб;число_операций
2026-03-28;70,4;1673
2026-03-29;52,4;1267
2026-03-30;165,7;4008
2026-03-31;175,1;4199
2026-04-01;126,4;3095
2026-04-02;120,5;2906
2026-04-03;124,1;3033
2026-04-04;65,7;1526
2026-04-05;44,2;1027
2026-04-06;130,5;3046
2026-04-07;142,1;3358
2026-04-08;133,0;3170
2026-04-09;134,5;3279
2026-04-10;122,1;2899
2026-04-11;66,1;1573
2026-04-12;42,6;1010
2026-04-13;136,3;3158
2026-04-14;145,9;3571
2026-04-15;139,4;3399
2026-04-16;128,4;2970
2026-04-17;121,0;2807
2026-04-18;64,8;1534
2026-04-19;43,1;1018
2026-04-20;129,1;3064
2026-04-21;145,3;3543
2026-04-22;137,6;3374
2026-04-23;130,8;3037
2026-04-24;125,9;2930
2026-04-25;66,1;1595
2026-04-26;45,8;1064
2026-04-27;131,9;3097
2026-04-28;179,9;4325
2026-04-29;163,8;3790
2026-04-30;176,1;4172
2026-05-01;111,6;2625
2026-05-02;56,1;1364
2026-05-03;39,8;966
2026-05-04;128,5;3072
2026-05-05;131,4;3101
2026-05-06;125,1;2891
2026-05-07;124,1;2962
2026-05-08;119,9;2847
2026-05-09;61,7;1456
2026-05-10;39,8;939
2026-05-11;125,6;3010
2026-05-12;137,4;3268
2026-05-13;131,5;3205
2026-05-14;127,6;2996
2026-05-15;117,4;2728
2026-05-16;62,9;1461
2026-05-17;40,9;1001
2026-05-18;129,7;3115
2026-05-19;132,5;3209
2026-05-20;126,4;3091
2026-05-21;128,1;3048
2026-05-22;118,6;2759
2026-05-23;63,2;1483
2026-05-24;40,7;990
2026-05-25;123,0;2947
2026-05-26;133,6;3173
2026-05-27;120,8;2915
2026-05-28;122,1;2896
2026-05-29;146,3;3399
2026-05-30;81,6;1952
2026-05-31;49,7;1173
2026-06-01;138,7;3226
2026-06-02;136,4;3295
2026-06-03;158,2;3727
2026-06-04;151,7;3615
2026-06-05;148,5;3475
2026-06-06;75,6;1787
2026-06-07;50,2;1164
2026-06-08;160,2;3895
2026-06-09;165,6;3973
2026-06-10;159,2;3745
2026-06-11;150,0;3468
2026-06-12;146,0;3474
2026-06-13;78,1;1849
2026-06-14;52,3;1282
2026-06-15;148,7;3502
2026-06-16;167,7;3919
2026-06-17;159,0;3775
2026-06-18;156,1;3717
2026-06-19;154,0;3649
2026-06-20;79,8;1909
2026-06-21;47,3;1112
2026-06-22;148,3;3489
2026-06-23;162,0;3933
2026-06-24;155,0;3623
2026-06-25;153,6;3615
2026-06-26;144,8;3452
2026-06-27;70,8;1724
2026-06-28;61,0;1414
2026-06-29;182,1;4331
2026-06-30;207,2;4834
2026-07-01;141,7;3296
2026-07-02;144,3;3388
2026-07-03;143,5;3373
2026-07-04;76,8;1801
2026-07-05;46,7;1096
2026-07-06;153,7;3556
2026-07-07;160,7;3742
2026-07-08;161,1;3733
2026-07-09;155,0;3684
2026-07-10;142,7;3459
2026-07-11;75,7;1809
2026-07-12;48,0;1173
2026-07-13;152,7;3685
2026-07-14;164,9;3838
2026-07-15;159,3;3870
2026-07-16;154,7;3728
2026-07-17;144,0;3445
2026-07-18;76,0;1762
2026-07-19;48,0;1120
2026-07-20;157,7;3803
2026-07-21;153,8;3741
2026-07-22;156,8;3803
2026-07-23;159,0;3850
2026-07-24;140,9;3264
2026-07-25;75,8;1775
2026-07-26;49,7;1187
2026-07-27;149,7;3517
2026-07-28;156,5;3702
2026-07-29;195,7;4557
2026-07-30;189,4;4607
2026-07-31;177,8;4279
2026-08-01;65,9;1525
2026-08-02;42,3;1035
2026-08-03;151,0;3629
2026-08-04;151,5;3501
2026-08-05;153,2;3673
2026-08-06;146,0;3502
2026-08-07;135,2;3254
2026-08-08;73,7;1784
2026-08-09;50,9;1216
2026-08-10;147,5;3553
2026-08-11;157,7;3800
2026-08-12;150,0;3615
2026-08-13;153,3;3749
2026-08-14;141,6;3337
2026-08-15;72,3;1738
2026-08-16;45,8;1106
2026-08-17;151,2;3616
2026-08-18;155,2;3798
2026-08-19;145,3;3511
2026-08-20;151,9;3578
2026-08-21;142,5;3471
2026-08-22;69,1;1633
2026-08-23;47,1;1145
2026-08-24;145,0;3404
2026-08-25;159,4;3745
2026-08-26;149,3;3638
2026-08-27;148,6;3475
2026-08-28;141,8;3453
2026-08-29;96,1;2228
2026-08-30;61,1;1442
2026-08-31;183,3;4343
